ts_utc,balance,equity,margin,margin_free,leverage,profit
2025-12-01 10:05:43,83.2,85.03,34.86,50.17,100,1.83
2025-12-01 10:06:43,83.2,84.94,34.86,50.08,100,1.74
2025-12-01 10:07:43,83.2,84.61,34.86,49.75,100,1.41
2025-12-01 10:08:43,83.2,84.79,34.86,49.93,100,1.5899999999999999
2025-12-01 10:09:43,83.2,84.67,34.86,49.81,100,1.47
2025-12-01 10:10:43,83.2,84.94,34.86,50.08,100,1.74
2025-12-01 10:11:43,83.2,84.82,34.86,49.96,100,1.62
2025-12-01 10:12:43,83.2,84.76,34.86,49.9,100,1.56
2025-12-01 10:13:43,83.2,84.91,34.86,50.05,100,1.71
2025-12-01 10:14:43,83.2,84.82,34.86,49.96,100,1.62
2025-12-01 10:15:43,83.2,84.34,34.86,49.48,100,1.1400000000000001
2025-12-01 10:16:43,83.2,84.37,34.86,49.51,100,1.17
2025-12-01 10:17:43,83.2,84.01,34.86,49.15,100,0.81
2025-12-01 10:18:43,83.2,83.98,34.86,49.12,100,0.78
2025-12-01 10:19:43,83.2,83.68,34.86,48.82,100,0.48
2025-12-01 10:20:43,83.2,83.62,34.86,48.76,100,0.42
2025-12-01 10:21:43,83.2,83.92,34.86,49.06,100,0.72
2025-12-01 10:22:43,83.2,84.1,34.86,49.24,100,0.9
2025-12-01 10:23:43,83.2,84.52,34.86,49.66,100,1.32
2025-12-01 10:24:43,83.2,84.4,34.86,49.54,100,1.2
2025-12-01 10:25:43,83.2,84.19,34.86,49.33,100,0.99
2025-12-01 10:26:43,83.2,84.61,34.86,49.75,100,1.41
2025-12-01 10:27:43,83.2,84.13,34.86,49.27,100,0.93
2025-12-01 10:28:43,83.2,84.46,34.86,49.6,100,1.26
2025-12-01 10:29:43,83.2,84.94,34.86,50.08,100,1.74
2025-12-01 10:30:44,83.2,85.21,34.86,50.35,100,2.01
2025-12-01 10:31:44,83.2,85.36,34.86,50.5,100,2.16
2025-12-01 10:32:44,83.2,85.54,34.86,50.68,100,2.34
2025-12-01 10:33:44,83.2,85.42,34.86,50.56,100,2.22
2025-12-01 10:34:44,83.2,85.39,34.86,50.53,100,2.19
2025-12-01 10:35:44,83.2,85.06,34.86,50.2,100,1.8599999999999999
2025-12-01 10:36:44,83.2,85.33,34.86,50.47,100,2.13
2025-12-01 10:37:44,83.2,85.48,34.86,50.62,100,2.2800000000000002
2025-12-01 10:38:44,83.2,85.39,34.86,50.53,100,2.19
2025-12-01 10:39:44,83.2,85.24,34.86,50.38,100,2.04
2025-12-01 10:40:44,83.2,85.24,34.86,50.38,100,2.04
2025-12-01 10:41:44,83.2,84.91,34.86,50.05,100,1.71
2025-12-01 10:42:44,83.2,84.64,34.86,49.78,100,1.44
2025-12-01 10:43:44,83.2,84.19,34.86,49.33,100,0.99
2025-12-01 10:44:44,83.2,83.92,34.86,49.06,100,0.72
2025-12-01 10:45:44,83.2,83.62,34.86,48.76,100,0.42
2025-12-01 10:46:44,83.2,83.92,34.86,49.06,100,0.72
2025-12-01 10:47:44,83.2,83.56,34.86,48.7,100,0.36
2025-12-01 10:48:44,83.2,83.56,34.86,48.7,100,0.36
2025-12-01 10:49:44,83.2,84.01,34.86,49.15,100,0.81
2025-12-01 10:50:44,83.2,84.46,34.86,49.6,100,1.26
2025-12-01 10:51:44,83.2,85.21,34.86,50.35,100,2.01
2025-12-01 10:52:44,83.2,85.48,34.86,50.62,100,2.2800000000000002
2025-12-01 10:53:44,83.2,85.51,34.86,50.65,100,2.31
2025-12-01 10:54:44,83.2,85.81,34.86,50.95,100,2.61
2025-12-01 10:55:44,83.2,85.72,34.86,50.86,100,2.52
2025-12-01 10:56:44,83.2,85.51,34.86,50.65,100,2.31
2025-12-01 10:57:44,83.2,85.72,34.86,50.86,100,2.52
2025-12-01 10:58:44,83.2,85.21,34.86,50.35,100,2.01
2025-12-01 10:59:44,83.2,85.66,34.86,50.8,100,2.46
2025-12-01 11:00:44,83.2,85.78,34.86,50.92,100,2.58
2025-12-01 11:01:44,83.2,85.66,34.86,50.8,100,2.46
2025-12-01 11:02:44,83.2,85.57,34.86,50.71,100,2.37
2025-12-01 11:03:44,83.2,85.27,34.86,50.41,100,2.07
2025-12-01 11:04:44,83.2,85.72,34.86,50.86,100,2.52
2025-12-01 11:05:45,83.2,85.72,34.86,50.86,100,2.52
2025-12-01 11:06:45,83.2,85.69,34.86,50.83,100,2.49
2025-12-01 11:07:45,83.2,85.66,34.86,50.8,100,2.46
2025-12-01 11:08:45,83.2,85.72,34.86,50.86,100,2.52
2025-12-01 11:09:45,83.2,85.51,34.86,50.65,100,2.31
2025-12-01 11:10:45,83.2,85.45,34.86,50.59,100,2.25
2025-12-01 11:11:45,83.2,85.18,34.86,50.32,100,1.98
2025-12-01 11:12:45,83.2,84.76,34.86,49.9,100,1.56
2025-12-01 11:13:45,83.2,84.91,34.86,50.05,100,1.71
2025-12-01 11:14:45,83.2,85.09,34.86,50.23,100,1.8900000000000001
2025-12-01 11:15:45,83.2,85.15,34.86,50.29,100,1.95
2025-12-01 11:16:45,83.2,85.66,34.86,50.8,100,2.46
2025-12-01 11:17:45,83.2,85.81,34.86,50.95,100,2.61
2025-12-01 11:18:45,83.2,85.72,34.86,50.86,100,2.52
2025-12-01 11:19:45,83.2,85.51,34.86,50.65,100,2.31
2025-12-01 11:20:45,83.2,85.66,34.86,50.8,100,2.46
2025-12-01 11:21:45,83.2,85.54,34.86,50.68,100,2.34
2025-12-01 11:22:45,83.2,85.48,34.86,50.62,100,2.2800000000000002
2025-12-01 11:23:45,83.2,86.2,34.86,51.34,100,3.0
2025-12-01 11:24:45,86.44,86.44,0.0,86.44,100,0.0
2025-12-01 11:25:45,86.44,85.72,46.53,39.19,100,-0.72
2025-12-01 11:26:45,86.44,85.36,46.53,38.83,100,-1.08
